disる	でぃする
いて返る	冱て返る
いて返る	凍て返る
いでたつ	いでたつ
いで立つ	いでたつ
いで立つ	出で立つ
いとう	いとう
いとう	厭う
いとおしむ	いとおしむ
いとおす	いとおす
いとしむ	いとしむ
いとなむ	いとなむ
いとなむ	営む
いどみ掛かる	いどみかかる
いどみ掛かる	挑み掛かる
いどむ	いどむ
いどむ	挑む
いなおる	いなおる
いなおる	居直る
いなかめく	いなかめく
いなじむ	いなじむ
いなす	いなす
いななく	いななく
いななく	嘶く
いなむ	いなむ
いならぶ	いならぶ
いならぶ	居並ぶ
いぬく	いぬく
いねむる	いねむる
いねむる	居眠る
いのこる	いのこる
いのこる	居残る
いのる	いのる
いのる	祈る
いばりちらす	いばりちらす
いばり散らす	いばりちらす
いばり散らす	威張り散らす
いばる	いばる
いばる	威張る
いひわたす	いいわたす
いひ淀む	いいよどむ
いびりだす	いびりだす
いびり出す	いびりだす
いびり出す	いびり出す
いびり殺す	いびりころす
いびる	いびる
いふ	いう
いぶかしむ	いぶかしむ
いぶかる	いぶかる
いぶかる	訝る
いぶしだす	いぶしだす
いぶしだす	いぶし出す
いぶし出す	いぶしだす
いぶし出す	いぶし出す
いぶす	いぶす
いぶす	燻す
いぶりだす	いぶりだす
いぶり出す	いぶりだす
いぶり出す	いぶり出す
いぶり出す	燻り出す
いぶる	いぶる
いぶる	燻る
いまさらめく	いまさらめく
いましめ合う	いましめあう
いみきらう	いみきらう
いみ嫌う	いみきらう
いみ嫌う	忌み嫌う
いみ嫌う	忌嫌う
いむ	いむ
いやがる	いやがる
いやしむ	いやしむ
いやしむ	卑しむ
いやす	いやす
いやす	癒す
いやまさる	いやまさる
いやます	いやます
いや増す	いやます
いらう	いらう
いらしゃる	いらっしゃる
いらだつ	いらだつ
いらだつ	苛立つ
いらっしゃる	いらっしゃる
いらつ	いらつ
いらつく	いらつく
いら立つ	いらだつ
いら立つ	苛立つ
いりかわる	いりかわる
いりくむ	いりくむ
いりくむ	入り組む
いりこむ	いりこむ
いりちがう	いりちがう
いりつく	いりつく
いりびたる	いりびたる
いりびたる	入り浸る
いりまじる	いりまじる
いりまじる	入り交じる
いり上がる	いりあがる
いり上がる	煎り上がる
いり交じる	いりまじる
いり交じる	入り交じる
いり交じる	入交じる
いり付く	いりつく
いり付く	炒り付く
いり付く	煎り付く
いり代わる	いりかわる
いり代わる	入り代わる
いり替わる	いりかわる
いり替わる	入り替わる
いり浸る	いりびたる
いり浸る	入り浸る
いり混じる	いりまじる
いり混じる	入り混じる
いり組む	いりくむ
いり組む	入り組む
いり組む	入組む
いり込む	いりこむ
いり込む	入込む
いり違う	いりちがう
いり違う	入り違う
いる	いる
いる	煎る
いる	要る
いれかわる	いれかわる
いれかわる	入れ替わる
いれこむ	いれこむ
いれちがう	いれちがう
いれ代る	いれかわる
いれ代る	入れ代る
いれ代わる	いれかわる
いれ代わる	入れ代わる
いれ替る	いれかわる
いれ替る	入れ替る
いれ替わる	いれかわる
いれ替わる	入れ替わる
いれ籠む	いれこむ
いれ籠む	入れ籠む
いれ込む	いれこむ
いれ込む	入れ込む
いれ違う	いれちがう
いれ違う	入れ違う
いろけづく	いろけづく
いろづく	いろづく
いろづく	色付く
いろどる	いろどる
いろどる	彩る
いろめきたつ	いろめきたつ
いろめきたつ	色めき立つ
いろめき立つ	いろめきたつ
いろめき立つ	色めき立つ
いろめく	いろめく
いろめく	色めく
いろ付く	いろづく
いろ付く	色付く
いろ取る	いろどる
いろ取る	彩る
いわう	いわう
いわう	祝う
いわく	いわく
いわす	いわす
いゝ切る	いいきる
い並ぶ	いならぶ
い並ぶ	居並ぶ
い付く	いつく
い付く	居付く
い付く	居着く
い倒す	いたおす
い倒す	射倒す
い入る	さしいる
い入る	射入る
い出す	いだす
い出す	鋳出す
い切る	いきる
い切る	射切る
い合す	いあわす
い合す	居合す
い合わす	いあわす
い合わす	居合わす
い坐る	いすわる
い坐る	居坐る
い座る	いすわる
い座る	居座る
い張る	いばる
い張る	威張る
い抜く	いぬく
い抜く	射抜く
い据わる	いすわる
い据わる	居据わる
い残る	いのこる
い残る	居残る
い気ごむ	いきごむ
い気ごむ	意気込む
い気込む	いきごむ
い気込む	意気込む
い潰す	いつぶす
い潰す	鋳潰す
い直る	いなおる
い直る	居直る
い眠る	いねむる
い眠る	居眠る
い着く	いつく
い着く	居着く
い竦まる	いすくまる
い竦まる	居竦まる
い竦む	いすくむ
い竦む	居竦む
い落す	いおとす
い落す	射落す
い落す	射落とす
い落とす	いおとす
い落とす	射落とす
い貫く	いぬく
い貫く	射貫く
い込む	いこむ
い込む	射込む
い込む	鋳込む
い返す	いかえす
い返す	射返す
い通す	いとおす
い通す	射通す
い鎮まる	いしずまる
い鎮まる	居鎮まる
い馴染む	いなじむ
い馴染む	居馴染む
うえこむ	うえこむ
うえ込む	うえこむ
うえ込む	植え込む
うえ込む	植込む
うかがいしる	うかがいしる
うかがい取る	うかがいとる
うかがい寄る	うかがいよる
うかがい知る	うかがいしる
うかがい知る	うかがい知る
うかがい知る	窺い知る
うかがう	うかがう
うかがう	伺う
うかがう	窺う
うかがふ	うかがう
うかす	うかす
うかつく	うかつく
うかびあがる	うかびあがる
うかび上がる	うかびあがる
うかび上がる	浮かび上がる
うかび上がる	浮び上がる
うかび上る	うかびあがる
うかび出す	うかびだす
うかび出す	浮かび出す
うかぶ	うかぶ
うかぶ	浮かぶ
うかる	うかる
うかる	受かる
うかれあるく	うかれあるく
うかれたつ	うかれたつ
うかれだす	うかれだす
うかれ出す	うかれだす
うかれ出す	浮かれ出す
うかれ出す	浮れ出す
うかれ歩く	うかれあるく
うかれ歩く	浮かれ歩く
うかれ歩く	浮れ歩く
うかれ立つ	うかれたつ
うかれ立つ	浮かれ立つ
うかれ騒ぐ	うかれさわぐ
うがつ	うがつ
うがつ	穿つ
うきあがる	うきあがる
うきあしだつ	うきあしだつ
うきあしだつ	浮き足立つ
うきあし立つ	うきあしだつ
うきあし立つ	浮き足立つ
うきあし立つ	浮足立つ
うきたつ	うきたつ
うきだす	うきだす
うき上がる	うきあがる
うき上がる	浮き上がる
うき上る	うきあがる
うき上る	浮き上る
うき出す	うきだす
うき出す	浮き出す
うき出す	浮出す
うき立つ	うきたつ
うき立つ	浮き立つ
うき足だつ	うきあしだつ
うき足だつ	浮き足立つ
うき足立つ	うきあしだつ
